DO,DO-20-001729,29/02/2020,DIY05,PT. DUTA INTRA YASA (MAGELANG),,,,,BRNKTT001,,TUNTAS  K10,200,,DL0443/MPM/II/2020
DO,DO-20-001729,29/02/2020,DIY05,PT. DUTA INTRA YASA (MAGELANG),,,,,BRNTJH002,,TEJAHE PERMEN RASA JAHE T150,60,,DL0443/MPM/II/2020
DO,DO-20-001730,29/02/2020,DIY09,PT. DUTA INTRA YASA (TEMANGGUNG),,,,,BRNSPG002,,SRONGPAS R10,5000,,DL0444/MPM/II/2020
DO,DO-20-001730,29/02/2020,DIY09,PT. DUTA INTRA YASA (TEMANGGUNG),,,,,BRNOBH003,,OB HERBAL B100,48,,DL0444/MPM/II/2020
DO,DO-20-001730,29/02/2020,DIY09,PT. DUTA INTRA YASA (TEMANGGUNG),,,,,BRNOBH001,,OB HERBAL B60,480,,DL0444/MPM/II/2020
DO,DO-20-001730,29/02/2020,DIY09,PT. DUTA INTRA YASA (TEMANGGUNG),,,,,BRNOBJ001,,OB HERBAL JUNIOR B60,144,,DL0444/MPM/II/2020
DO,DO-20-001730,29/02/2020,DIY09,PT. DUTA INTRA YASA (TEMANGGUNG),,,,,BRNANJ002,,ANTANGIN JUNIOR SD5,1500,,DL0444/MPM/II/2020
DO,DO-20-001730,29/02/2020,DIY09,PT. DUTA INTRA YASA (TEMANGGUNG),,,,,BRNANS002,,ANTANGIN JRG + MADU ST24,240,,DL0444/MPM/II/2020
DO,DO-20-001730,29/02/2020,DIY09,PT. DUTA INTRA YASA (TEMANGGUNG),,,,,BRNANS003,,ANTANGIN JRG + MADU SD12,28800,,DL0444/MPM/II/2020
DO,DO-20-001730,29/02/2020,DIY09,PT. DUTA INTRA YASA (TEMANGGUNG),,,,,BRNANM001,,ANTANGIN MINT SD12,10800,,DL0444/MPM/II/2020
DO,DO-20-001731,29/02/2020,DIY06,PT. DUTA INTRA YASA (PURWOREJO),,,,,BRNSPG002,,SRONGPAS R10,2000,,DL0445/MPM/II/2020
DO,DO-20-001731,29/02/2020,DIY06,PT. DUTA INTRA YASA (PURWOREJO),,,,,BRNOBH003,,OB HERBAL B100,192,,DL0445/MPM/II/2020
DO,DO-20-001731,29/02/2020,DIY06,PT. DUTA INTRA YASA (PURWOREJO),,,,,BRNOBH001,,OB HERBAL B60,336,,DL0445/MPM/II/2020
DO,DO-20-001731,29/02/2020,DIY06,PT. DUTA INTRA YASA (PURWOREJO),,,,,BRNANC001,,ANTANGIN PERMEN HERBAL RASA MADU MINT S5,270,,DL0445/MPM/II/2020
DO,DO-20-001731,29/02/2020,DIY06,PT. DUTA INTRA YASA (PURWOREJO),,,,,BRNOBJ001,,OB HERBAL JUNIOR B60,96,,DL0445/MPM/II/2020
DO,DO-20-001731,29/02/2020,DIY06,PT. DUTA INTRA YASA (PURWOREJO),,,,,BRNKDS002,,KULDON TR10,1000,,DL0445/MPM/II/2020
DO,DO-20-001731,29/02/2020,DIY06,PT. DUTA INTRA YASA (PURWOREJO),,,,,BRNANS002,,ANTANGIN JRG + MADU ST24,720,,DL0445/MPM/II/2020
DO,DO-20-001731,29/02/2020,DIY06,PT. DUTA INTRA YASA (PURWOREJO),,,,,BRNANM001,,ANTANGIN MINT SD12,2160,,DL0445/MPM/II/2020
DO,DO-20-001732,29/02/2020,DIY08,PT. DUTA INTRA YASA (KEBUMEN),,,,,BRNSPG002,,SRONGPAS R10,1000,,DL0446/MPM/II/2020
DO,DO-20-001732,29/02/2020,DIY08,PT. DUTA INTRA YASA (KEBUMEN),,,,,BRNSPG001,,SRONGPAS D20,1000,,DL0446/MPM/II/2020
DO,DO-20-001732,29/02/2020,DIY08,PT. DUTA INTRA YASA (KEBUMEN),,,,,BRNOBH003,,OB HERBAL B100,192,,DL0446/MPM/II/2020
DO,DO-20-001732,29/02/2020,DIY08,PT. DUTA INTRA YASA (KEBUMEN),,,,,BRNOBH001,,OB HERBAL B60,720,,DL0446/MPM/II/2020
DO,DO-20-001732,29/02/2020,DIY08,PT. DUTA INTRA YASA (KEBUMEN),,,,,BRNOBH002,,OB HERBAL D10,600,,DL0446/MPM/II/2020
